musicMeta/musicName,total_playCount,music_playUrl
Anxiety,344100000,https://sf16.tiktokcdn-us.com/obj/tos-alisg-ve-2774/oszQolKoxAQIUBiswAoMoGYGk5WSwlfnYwmBiK
sonido original,136239395,https://v16m.tiktokcdn-us.com/3c79a35f5468ee551660453f592befac/68df67ed/video/tos/useast5/tos-useast5-v-27dcd7c799-tx/f00da6c21b1d441ba45a044b715911fa/?a=1233&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=GSDrKInz7Thr6IdKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=amtyNTg6ZjpqajMzNzU8M0BpamtyNTg6ZjpqajMzNzU8M0A1cHNmcjRfM2ZgLS1kMTZzYSM1cHNmcjRfM2ZgLS1kMTZzcw%3D%3D&vvpl=1&l=20251003000626FFB800DB2E45C007F504&btag=e00070000
Confess Your Love,132072900,https://sf16.tiktokcdn-us.com/obj/tos-alisg-ve-2774/osRYWemHMpDCCfGaI7FwgDFuFzLCDgeVbABGgI
Coffee,96300000,https://sf16.tiktokcdn-us.com/obj/tos-alisg-ve-2774/oMQlszCNecx30XVZwklMUAdageD8FleaUYqZQd
だめ演技力面接,94100000,https://v16m.tiktokcdn-us.com/af68b9d4929b5c4b02273feb64fb0f49/68df66f9/video/tos/useast5/tos-useast5-v-27dcd7c799-tx/dd8486262e504cac968bd03ff2eaeffb/?a=1233&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=GSDrKInz7Th1vIdKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=ank7Nzw6ZjhqNzMzODU8NEBpank7Nzw6ZjhqNzMzODU8NEBxYi1ncjRnZDZgLS1kMS1zYSNxYi1ncjRnZDZgLS1kMS1zcw%3D%3D&vvpl=1&l=2025100300021826410CF59CFC6E087AA6&btag=e00070000
Bad Bih 4 Ya,90400000,https://sf16.tiktokcdn-us.com/obj/tos-alisg-ve-2774/oYziW10isoafKBINAwOgkMhGIBwzH3BsGrNAiA
QKThr,80500000,https://sf16.tiktokcdn-us.com/obj/tos-alisg-ve-2774/okFO7qyn6CJFBZ0dEpUifZIBQhqfYso9tqwgQD
Sugar On My Tongue,78500000,https://sf16.tiktokcdn-us.com/obj/tos-alisg-ve-2774/ocfAvDIEFxAahzgQz8gCDVODAEYPQdF89TqffD
оригинальный звук,73503400,https://v16m.tiktokcdn-us.com/bc2e8ef59bee2d795461bf182cd4e77a/68df66cf/video/tos/useast5/tos-useast5-v-27dcd7c799-tx/65349f8586fc41018f385eb9a3eaf34d/?a=1233&bti=ODszNWYuMDE6&ch=0&cr=0&dr=0&er=0&lr=default&cd=0%7C0%7C0%7C0&br=250&bt=125&ds=5&ft=GSDrKInz7ThOjIdKXq8Zmo&mime_type=audio_mpeg&qs=13&rc=M3J3NDw6ZnF0aTMzNzU8M0BpM3J3NDw6ZnF0aTMzNzU8M0BxbDFycjQwazRgLS1kMTZzYSNxbDFycjQwazRgLS1kMTZzcw%3D%3D&vvpl=1&l=202510030001360ECC18ACB79E140A6553&btag=e00070000
Lollipop - Album Version (Explicit),66100000,https://sf16.tiktokcdn-us.com/obj/tos-alisg-ve-2774/oEU1MYQKHircji7USuZJP40PATWOriPIjXABA
